,time,open,high,low,close,ema_short,ema_long,EMA_6,EMA_12,EMA_20,SAR,RSI_14
3021,2021-05-05 07:00:00,1.70913,1.7095,1.7088700000000001,1.7091699999999999,1.70917,1.70787,1.70888,1.70879,1.70855,1.70581,54.69
3022,2021-05-05 08:00:00,1.70919,1.70934,1.70842,1.70913,1.70913,1.70792,1.70895,1.70884,1.7086,1.70593,54.46
3023,2021-05-05 09:00:00,1.7090800000000002,1.71067,1.70832,1.7105299999999999,1.71053,1.70802,1.7094,1.7091,1.70879,1.70606,60.63
3024,2021-05-05 10:00:00,1.71051,1.7112699999999998,1.70732,1.7082899999999999,1.70829,1.70803,1.70908,1.70898,1.70874,1.70618,49.15
3025,2021-05-05 11:00:00,1.70828,1.7086000000000001,1.7054,1.70651,1.70651,1.70797,1.70835,1.7086,1.70853,1.71222,42.3
3026,2021-05-05 12:00:00,1.70649,1.70728,1.70485,1.70689,1.70689,1.70793,1.70793,1.70833,1.70837,1.71208,44.09
3027,2021-05-05 13:00:00,1.70689,1.70946,1.70683,1.70751,1.70751,1.70791,1.70781,1.70821,1.70829,1.71179,46.99
3028,2021-05-05 14:00:00,1.7075,1.7086000000000001,1.70672,1.70672,1.70672,1.70787,1.7075,1.70798,1.70814,1.71152,43.87
3029,2021-05-05 15:00:00,1.70676,1.70831,1.70601,1.70732,1.70732,1.70784,1.70745,1.70788,1.70806,1.71125,46.76
3030,2021-05-05 16:00:00,1.70732,1.7082000000000002,1.70506,1.70648,1.70648,1.70779,1.70717,1.70766,1.70791,1.71099,43.39
3031,2021-05-05 17:00:00,1.7065000000000001,1.70715,1.70459,1.70491,1.70491,1.70768,1.70653,1.70724,1.70763,1.71075,37.9
3032,2021-05-05 18:00:00,1.7048999999999999,1.70633,1.70397,1.70601,1.70601,1.70761,1.70638,1.70705,1.70747,1.71038,43.31
3033,2021-05-05 19:00:00,1.70599,1.7069800000000002,1.70499,1.70665,1.70665,1.70757,1.70646,1.70699,1.70739,1.70987,46.25
3034,2021-05-05 20:00:00,1.7066599999999998,1.7071100000000001,1.70615,1.70683,1.70683,1.70755,1.70656,1.70696,1.70734,1.70939,47.08
3035,2021-05-05 21:00:00,1.70683,1.70814,1.70662,1.70791,1.70791,1.70756,1.70695,1.70711,1.70739,1.70896,51.88
3036,2021-05-05 22:00:00,1.70787,1.70838,1.70668,1.7067299999999999,1.70673,1.70753,1.70689,1.70705,1.70733,1.70856,46.88
3037,2021-05-05 23:00:00,1.7067299999999999,1.70688,1.70525,1.70525,1.70525,1.70744,1.70642,1.70677,1.70713,1.70838,41.47
3038,2021-05-06 00:00:00,1.70525,1.7059199999999999,1.7031800000000001,1.70579,1.70579,1.70737,1.70624,1.70662,1.707,1.70838,44.01
3039,2021-05-06 01:00:00,1.70579,1.70674,1.70536,1.70669,1.70669,1.70735,1.70637,1.70663,1.70697,1.70786,48.05
3040,2021-05-06 02:00:00,1.7066400000000002,1.7067299999999999,1.7059600000000001,1.70638,1.70638,1.70731,1.70637,1.70659,1.70692,1.70739,46.8
3041,2021-05-06 03:00:00,1.70636,1.70679,1.70606,1.70615,1.70615,1.70726,1.70631,1.70653,1.70684,1.70697,45.84
3042,2021-05-06 04:00:00,1.70617,1.70635,1.70471,1.70523,1.70523,1.70718,1.706,1.70633,1.70669,1.70679,42.14
3043,2021-05-06 05:00:00,1.70525,1.70668,1.70513,1.70647,1.70647,1.70716,1.70613,1.70635,1.70667,1.70679,48.21
3044,2021-05-06 06:00:00,1.70647,1.70681,1.7056200000000001,1.70572,1.70572,1.7071,1.70602,1.70625,1.70658,1.70318,45.13
3045,2021-05-06 07:00:00,1.7057,1.70581,1.70496,1.7054200000000002,1.70542,1.70703,1.70585,1.70612,1.70647,1.70325,43.92
3046,2021-05-06 08:00:00,1.70536,1.70568,1.70486,1.70534,1.70534,1.70697,1.7057,1.706,1.70636,1.70332,43.58
3047,2021-05-06 09:00:00,1.7052800000000001,1.70549,1.70371,1.70404,1.70404,1.70685,1.70523,1.7057,1.70614,1.70339,38.44
3048,2021-05-06 10:00:00,1.7040199999999999,1.7051699999999999,1.70376,1.70441,1.70441,1.70676,1.70499,1.7055,1.70598,1.70346,40.59
3049,2021-05-06 11:00:00,1.70441,1.70448,1.70164,1.70349,1.70349,1.70663,1.70456,1.70519,1.70574,1.70681,37.12
3050,2021-05-06 12:00:00,1.70344,1.7051500000000002,1.70281,1.70441,1.70441,1.70654,1.70452,1.70507,1.70561,1.70671,42.42
3051,2021-05-06 13:00:00,1.70441,1.70453,1.70113,1.7011699999999998,1.70117,1.70633,1.70356,1.70447,1.70519,1.70661,32.14
3052,2021-05-06 14:00:00,1.7011500000000002,1.7063000000000001,1.6972,1.7037900000000001,1.70379,1.70623,1.70363,1.70437,1.70506,1.70639,43.96
3053,2021-05-06 15:00:00,1.70378,1.7048999999999999,1.69964,1.69966,1.69966,1.70597,1.70249,1.70364,1.70454,1.7063,33.93
3054,2021-05-06 16:00:00,1.69967,1.70015,1.6949999999999998,1.69639,1.69639,1.7056,1.70075,1.70253,1.70377,1.7063,28.4
3055,2021-05-06 17:00:00,1.69648,1.69677,1.69197,1.6926,1.6926,1.70509,1.69842,1.701,1.7027,1.7054,23.6
3056,2021-05-06 18:00:00,1.6926299999999999,1.69432,1.69137,1.6922700000000002,1.69227,1.70459,1.69666,1.69966,1.70171,1.70405,23.23
3057,2021-05-06 19:00:00,1.69226,1.6943000000000001,1.69212,1.69326,1.69326,1.70414,1.69569,1.69867,1.7009,1.70253,26.92
3058,2021-05-06 20:00:00,1.69321,1.69397,1.69245,1.6924700000000001,1.69247,1.70368,1.69477,1.69772,1.7001,1.70119,25.85
3059,2021-05-06 21:00:00,1.69245,1.69307,1.6915900000000001,1.69178,1.69178,1.70322,1.69392,1.6968,1.69931,1.70001,24.92
3060,2021-05-06 22:00:00,1.69178,1.69257,1.68991,1.69038,1.69038,1.70271,1.69291,1.69582,1.69846,1.69898,23.11
3061,2021-05-06 23:00:00,1.6903899999999998,1.69063,1.6863000000000001,1.68648,1.68648,1.70208,1.69107,1.69438,1.69732,1.69771,18.97
3062,2021-05-07 00:00:00,1.68649,1.68838,1.68521,1.68778,1.68778,1.70152,1.69013,1.69336,1.69641,1.69588,23.87
3063,2021-05-07 01:00:00,1.68777,1.68937,1.68777,1.6888800000000002,1.68888,1.70102,1.68977,1.69267,1.69569,1.69396,27.84
3064,2021-05-07 02:00:00,1.68884,1.68919,1.68868,1.68909,1.68909,1.70055,1.68958,1.69212,1.69506,1.69239,28.61
3065,2021-05-07 03:00:00,1.6890399999999999,1.6899,1.6888,1.6895099999999998,1.68951,1.70012,1.68956,1.69172,1.69453,1.69109,30.2
3066,2021-05-07 04:00:00,1.68955,1.69008,1.6891699999999998,1.68937,1.68937,1.6997,1.6895,1.69136,1.69404,1.68521,29.96
3067,2021-05-07 05:00:00,1.6893500000000001,1.69063,1.6891500000000002,1.69036,1.69036,1.69933,1.68975,1.69121,1.69369,1.68531,33.96
3068,2021-05-07 06:00:00,1.6903899999999998,1.69239,1.6903700000000002,1.69224,1.69224,1.69905,1.69046,1.69136,1.69355,1.68552,40.88
3069,2021-05-07 07:00:00,1.69224,1.69224,1.6917200000000001,1.69194,1.69194,1.69877,1.69088,1.69145,1.6934,1.68593,40.15
3070,2021-05-07 08:00:00,1.69194,1.6922899999999998,1.69106,1.69184,1.69184,1.6985,1.69116,1.69151,1.69325,1.68632,39.9
3071,2021-05-07 09:00:00,1.69187,1.6933500000000001,1.69173,1.69313,1.69313,1.69829,1.69172,1.69176,1.69324,1.68668,44.74
3072,2021-05-07 10:00:00,1.69314,1.69625,1.6929400000000001,1.6961,1.6961,1.69821,1.69297,1.69243,1.69351,1.68722,53.93
3073,2021-05-07 11:00:00,1.6961300000000001,1.69748,1.6953200000000002,1.69557,1.69557,1.6981,1.69371,1.69291,1.69371,1.68812,52.26
3074,2021-05-07 12:00:00,1.69562,1.69603,1.69445,1.69592,1.69592,1.69802,1.69434,1.69337,1.69392,1.68924,53.29
3075,2021-05-07 13:00:00,1.69592,1.69686,1.6935099999999998,1.694,1.694,1.69786,1.69425,1.69347,1.69393,1.69023,47.27
3076,2021-05-07 14:00:00,1.69402,1.69409,1.6918600000000001,1.69306,1.69306,1.69767,1.69391,1.69341,1.69384,1.6911,44.61
3077,2021-05-07 15:00:00,1.69309,1.70134,1.69246,1.69862,1.69862,1.69771,1.69525,1.69421,1.6943,1.69186,59.22
3078,2021-05-07 16:00:00,1.69863,1.6987999999999999,1.69481,1.69502,1.69502,1.6976,1.69519,1.69433,1.69437,1.69186,50.02
3079,2021-05-07 17:00:00,1.69499,1.70012,1.69472,1.69886,1.69886,1.69765,1.69624,1.69503,1.6948,1.69246,57.59
3080,2021-05-07 18:00:00,1.6988699999999999,1.70028,1.6970100000000001,1.69931,1.69931,1.69772,1.69711,1.69569,1.69523,1.6937,58.38
3081,2021-05-07 19:00:00,1.69931,1.69966,1.69782,1.69899,1.69899,1.69777,1.69765,1.6962,1.69558,1.69472,57.56
3082,2021-05-07 20:00:00,1.69894,1.70037,1.69872,1.7000899999999999,1.70009,1.69786,1.69835,1.6968,1.69601,1.69565,59.67
3083,2021-05-07 21:00:00,1.7000899999999999,1.7006999999999999,1.69904,1.6993399999999999,1.69934,1.69792,1.69863,1.69719,1.69633,1.69644,57.56
3084,2021-05-07 22:00:00,1.69935,1.70089,1.6992699999999998,1.6995,1.6995,1.69798,1.69888,1.69754,1.69663,1.69713,57.91
3085,2021-05-07 23:00:00,1.69949,1.7000899999999999,1.69604,1.69619,1.69619,1.69791,1.69811,1.69733,1.69659,1.70134,49.11
3086,2021-05-10 00:00:00,1.69653,1.69876,1.69544,1.6973,1.6973,1.69788,1.69788,1.69733,1.69666,1.70123,51.76
3087,2021-05-10 01:00:00,1.69743,1.70152,1.6972,1.7013500000000001,1.70135,1.69802,1.69887,1.69795,1.6971,1.69544,59.94
3088,2021-05-10 02:00:00,1.70132,1.70133,1.70045,1.70119,1.70119,1.69814,1.69953,1.69845,1.69749,1.69544,59.51
3089,2021-05-10 03:00:00,1.70119,1.7014200000000002,1.70028,1.70087,1.70087,1.69825,1.69992,1.69882,1.69781,1.69556,58.61
3090,2021-05-10 04:00:00,1.70089,1.70125,1.6999900000000001,1.70073,1.70073,1.69835,1.70015,1.69911,1.69809,1.69568,58.19
3091,2021-05-10 05:00:00,1.7007400000000001,1.70084,1.7000600000000001,1.70016,1.70016,1.69842,1.70015,1.69927,1.69829,1.6958,56.43
3092,2021-05-10 06:00:00,1.70016,1.70025,1.6992500000000001,1.69992,1.69992,1.69848,1.70009,1.69937,1.69844,1.69591,55.67
3093,2021-05-10 07:00:00,1.6999499999999999,1.70044,1.6995,1.70016,1.70016,1.69854,1.70011,1.69949,1.69861,1.69602,56.3
3094,2021-05-10 08:00:00,1.70016,1.70321,1.70003,1.7015500000000001,1.70155,1.69866,1.70052,1.69981,1.69889,1.69613,59.9
3095,2021-05-10 09:00:00,1.7015500000000001,1.70289,1.7012399999999999,1.70146,1.70146,1.69877,1.70079,1.70006,1.69913,1.69642,59.55
3096,2021-05-10 10:00:00,1.70149,1.70539,1.70122,1.70507,1.70507,1.69902,1.70201,1.70083,1.6997,1.69669,67.54
3097,2021-05-10 11:00:00,1.70509,1.7069100000000001,1.70373,1.7062300000000001,1.70623,1.6993,1.70322,1.70166,1.70032,1.69721,69.62
3098,2021-05-10 12:00:00,1.7062300000000001,1.70808,1.7056200000000001,1.70804,1.70804,1.69964,1.70459,1.70265,1.70106,1.69799,72.57
3099,2021-05-10 13:00:00,1.7080600000000001,1.7096,1.70743,1.7084899999999998,1.70849,1.69999,1.70571,1.70354,1.70176,1.699,73.26
3100,2021-05-10 14:00:00,1.7084700000000002,1.7104,1.7076099999999999,1.70932,1.70932,1.70036,1.70674,1.70443,1.70248,1.70027,74.54
3101,2021-05-10 15:00:00,1.70932,1.71334,1.70929,1.71198,1.71198,1.70081,1.70824,1.70559,1.70339,1.70169,78.16
3102,2021-05-10 16:00:00,1.71196,1.71211,1.70796,1.7101,1.7101,1.70118,1.70877,1.70629,1.70403,1.70355,70.54
3103,2021-05-10 17:00:00,1.7101199999999999,1.71341,1.70915,1.7097099999999998,1.70971,1.70151,1.70904,1.70681,1.70457,1.70512,69.04
3104,2021-05-10 18:00:00,1.7097,1.71038,1.70792,1.71031,1.71031,1.70186,1.7094,1.70735,1.70512,1.70661,70.09
3105,2021-05-10 19:00:00,1.71031,1.7105299999999999,1.7078799999999998,1.70945,1.70945,1.70215,1.70942,1.70767,1.70553,1.70783,66.59
3106,2021-05-10 20:00:00,1.7094399999999998,1.7104300000000001,1.70796,1.70891,1.70891,1.70242,1.70927,1.70786,1.70585,1.70788,64.41
3107,2021-05-10 21:00:00,1.70889,1.71088,1.70884,1.71007,1.71007,1.70272,1.7095,1.7082,1.70625,1.70788,66.91
3108,2021-05-10 22:00:00,1.71001,1.7101899999999999,1.7082000000000002,1.70869,1.70869,1.70295,1.70927,1.70828,1.70648,1.70796,61.38
3109,2021-05-10 23:00:00,1.7086700000000001,1.7092399999999999,1.7070699999999999,1.7070699999999999,1.70707,1.70312,1.70864,1.70809,1.70654,1.71341,55.57
3110,2021-05-11 00:00:00,1.7070699999999999,1.7090100000000001,1.7067999999999999,1.7088,1.7088,1.70334,1.70869,1.7082,1.70676,1.71328,59.93
